start day,Wood ,Sea spray,No EC3,Sn,Sb,EC3,Shipping
2015-08-01,17.1315132,6.970960152,10.443699,0.461048846,0.544034751,0,0
2015-08-04,0,2.86863642,52.232075,1.077753032,1.155952592,63.5858692,0.981990924
2015-08-07,12.99289872,6.835003812,17.815602,2.920863168,0,4.35764822,2.350478739
2015-08-10,0,0,49.18676,0.864773426,0.60644684,35.1916999,7.29291623
2015-08-13,22.865151,8.350429932,24.326533,13.51971542,4.505621234,49.64244,0
2015-08-16,14.52073674,31.72653432,44.397094,1.0432577,1.354189062,5.22247178,2.862017627
2015-08-19,3.84034128,11.68377444,27.181049,0,0,23.21306622,0.234680215
2015-08-22,9.23377044,21.73946112,26.705749,0,1.135795253,39.68172796,0.911074411
2015-08-25,10.1693442,9.46950732,54.117658,7.47140468,1.574445339,8.13047366,7.78072784
2015-08-28,0.36058572,3.6826803,22.6786,3.363488664,0.958705558,15.39481738,6.22935805
2015-08-31,0.233465226,2.905992648,7.015428,2.368679464,1.492496734,74.9121838,5.67635328
2015-09-06,4.09475946,36.04579524,85.13302,3.418396964,2.280553634,80.2814056,0
2015-09-09,0,7.129618236,41.658687,3.648430442,1.389498357,67.3700166,7.43012509
2015-09-12,0,0.044122703,7.552517,14.62240328,0.454733276,53.7227002,1.031113212
2015-09-15,0,1.971663408,24.319064,5.397421292,1.520588964,85.763847,2.636418971
2015-09-18,6.27363042,45.27812016,84.01946,5.79863947,9.970801657,90.6801904,0
2015-09-21,0.42688506,10.35385884,34.112281,5.651097638,1.120934308,95.9797386,10.78226641
2015-09-24,2.50741446,10.9442736,71.78388,11.5759616,1.033087886,0,11.93300149
2015-09-27,0,15.14494332,20.996717,2.773579728,2.283269734,80.4773626,6.43024395
2015-09-30,0,2.965118832,53.355141,13.07657314,2.527718698,105.3290648,8.94472897
2015-10-03,0,9.40851756,23.35081,25.91865554,2.936685696,61.4477606,0
2015-10-06,0,4.469363496,52.124793,0.74707587,2.119915743,110.040742,8.26550721
2015-10-09,0,6.989850036,56.912422,0.110766191,1.74270771,83.0727042,7.50251982
2015-10-12,0,19.3049532,83.37441,0.194937385,3.617068648,99.28488,13.3229045
2015-10-15,0,2.443741092,28.87108,3.20599874,0.621074977,61.5043704,1.30045193
2015-10-18,0,3.144022128,108.93876,0.845523222,1.196112065,110.1147702,1.328348538
2015-10-21,0,10.93410864,100.60064,1.799764878,1.557333912,90.5060064,7.28950496
2015-10-24,9.57176418,7.97864652,49.430521,1.94020093,3.741039194,80.1507676,2.887867473
2015-10-27,0,4.22523504,43.886486,0.555956227,2.797194581,113.284919,2.436063713
2015-11-17,32.514732,5.528298204,194.43165,1.120387712,1.901017516,25.3546585,2.563948435
2015-11-20,48.0219852,9.89220024,184.66084,9.04759588,2.544209303,0,2.76919318
2015-11-23,56.708823,7.642271052,180.55289,0.563204123,1.033941518,0,0
2015-11-26,113.395497,12.47071176,50.644573,0.387801173,0.121683202,0,0
2015-12-02,56.022204,5.787843516,190.27617,24.74038802,2.199070646,19.5129626,2.790305151
2015-12-05,29.8671882,4.24980036,309.04685,0.050864465,0,0.52625341,0
2015-12-08,5.6708823,2.907347976,117.9423,0,2.937849739,147.1375794,6.76720162
2015-12-11,12.06072114,1.626224184,107.24805,0.308164759,2.231857848,2.926770206,2.727196656
2015-12-14,44.290617,8.217014832,156.34654,1.849246946,0.816575946,0,1.05105019
2015-12-17,20.2678116,3.5492652,243.34681,0.370618105,0,8.82851604,0
2015-12-23,51.511191,1.943963892,139.04562,0.019141679,0,4.77002884,0
2015-12-27,30.4785006,2.33243478,132.95499,4.339822836,0.945571277,93.6282546,0.961712819
2015-12-29,43.9111308,2.56156992,209.94001,0.018653318,0,4.001354848,0
2016-01-01,31.4929248,19.57263048,141.31348,5.775900974,2.764213371,0,0
2016-01-04,35.3320848,0,0,206.7588186,0.679083104,0,0
2016-01-07,16.9690872,0.837982361,195.4162,2.76931626,0,24.7297734,0
2016-01-10,20.3047266,4.371864588,121.65643,0,1.704507709,17.06611286,3.137307116
2016-01-13,16.3400556,0.772079537,105.53018,1.995044632,0,88.812067,0
2016-01-16,6.47695824,2.305158804,89.65516,106.328308,9.016092645,4.48218978,0.090952039
2016-01-19,6.08565924,0,53.485509,3.53415658,7.729243453,76.7803072,2.048619247
2016-01-22,1.140924522,0,65.511278,0,0.041218752,53.6530266,0.606978642
2016-01-28,0.79374633,5.434949988,214.12265,0.82168656,2.377363185,3.596333502,0.414241887
2016-01-31,0,0,87.48915,0.19572548,0,6.71174498,11.92163059
2016-02-03,17.2865562,0,84.88858,4.26153006,0,82.5109608,0
2016-02-06,31.444197,13.32372132,106.72522,13.24323598,7.702276464,73.0005144,0.807902445
2016-02-09,0,19.25751672,102.72591,34.74661822,0.727817691,162.8228486,0
2016-02-12,41.573673,9.30432672,142.66469,0,8.113183533,0,5.96100481
2016-02-15,12.48804918,13.595634,30.119761,10.11217092,2.566714129,68.1625538,2.815927579
2016-02-18,22.953747,4.800571776,103.02467,0.330580265,8.857588832,5.31435384,1.244241781
2016-02-21,16.5054348,5.638926852,93.93286,8.87834912,0,74.0848098,0
2016-02-24,31.5711846,9.15439356,65.604301,7.71558512,1.75824768,70.6708034,3.503639611
2016-02-27,12.77288532,3.329956188,58.956212,0.815743544,2.607067608,50.8312458,1.212668582
2016-03-01,17.4046842,9.7541262,57.852837,0,1.554870021,76.1880816,4.71172193
2016-03-10,14.921043,3.256260228,16.923396,0,1.487394347,40.45162124,1.92660949
2016-03-13,1.82980272,3.321908928,19.329093,0,0.865562743,65.2362626,0.325359352
2016-03-16,0,7.863528348,24.224683,0,3.330714147,79.7414352,1.117835276
2016-03-19,11.80718892,3.358926324,7.99862,0,4.426272324,68.040625,1.964057654
2016-03-22,20.369697,5.55853896,26.521061,0,2.036298677,70.1830882,3.121160438
2016-03-25,0.554921046,5.2391898,78.70968,0,1.150054776,0.759616424,1.568464043
2016-04-03,26.8564008,15.65149716,15.062257,1.655517544,2.727934041,61.4042146,5.38525824
2016-04-09,11.1328257,0,7.171598,0,0.533480764,53.5528708,17.05142261
2016-04-12,14.64624774,12.3080724,50.28674,0,1.475909126,0,4.76630225
2016-04-24,8.52101562,13.0069134,48.412021,0,1.32551481,0,6.11792323
2016-04-30,20.8067706,19.50740532,20.389012,0,1.735374241,20.34643304,3.201325283
2016-05-03,16.848006,11.65073832,0,0.500414867,2.478634898,47.160318,11.95877553
2016-05-06,9.5934702,0,36.527484,0.080980053,0,34.33079548,17.64725777
2016-05-09,22.621512,19.03981716,0.9606492,0.37596682,7.081453697,43.52596884,0.677440319
2016-05-15,0.209854392,4.53018384,47.602653,0.529509806,0.557692852,63.490068,4.90123693
2016-05-18,12.77953002,12.21235236,10.805606,1.340020912,0.019242402,15.51718164,15.85292975
2016-05-21,19.9518192,12.49612416,0,1.116447234,1.556848894,18.37467016,11.7764621
2016-05-24,4.62589248,0.571829825,17.52499,3.22473216,0.20832484,54.0928412,1.435727737
2016-05-27,7.40027622,7.962890832,59.87422,0.468509915,0.431452423,0,10.54006624
2016-05-30,2.01068622,2.989938276,53.20644,0.510440476,0.166785977,43.350043,1.28718588
2016-06-02,35.3970552,23.93001,26.065452,2.389996804,4.248949821,54.1625148,9.86349769
2016-06-05,37.9309008,40.7487834,0,0,7.292145423,0,1.467793675
2016-06-08,7.18321602,3.031445196,24.581158,1.379877878,1.005441872,41.45405016,2.375570525
2016-06-11,17.549391,9.40936464,12.440638,1.18149742,0.670197578,21.56746288,1.592191321
2016-06-14,14.817681,3.493950876,18.652809,0,0.470622459,19.90182838,5.03617161
2016-06-17,30.2614404,15.7175694,60.148536,0.053798506,3.116724299,0,5.37009704
2016-06-20,7.76514408,8.120701836,13.671665,4.024390802,1.321615267,58.4430866,9.62129752
2016-06-23,8.74058604,11.35764864,55.883737,0,0.38912007,0,3.91462184
2016-06-26,1.96373034,9.41021172,69.14936,0.764452732,0,0,4.89365633
2016-06-29,11.93845866,7.071677964,28.427693,0.7299574,0.560835767,49.3245542,5.63958737
